;;;
;;;;R.SOCIAL.: G3S COMERCIO E INDUSTRIA DE FERRO E ACO LTDA -  CNPJ.: 20947332/0004-38 END.: RUA HELENA FERRANTE BORGHI, 100 - DISTRITO INDUSTRIAL CIDADE.: PRESIDENTEPRUDENTE - SP TELEFONE: 1821010101 IE: 562407492115 / WWW.SELETIVA.IND.BR DATA. : 18/06/2026 HORA.: 13:44:25-IMPRESSO POR:JULIO.SANTANA;;;;;;;;;;
;;;;Relação de Centro de Custo;;;;;;;;;;;
;;;;;;;;;;;;;;

Tipo;
;;Código;;;;;;;Descrição;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;

1.4.1               ;PRESIDENTE PRUDENTE                                                                                ;;SINTÉTICO ;

1.4.1.1             ;TRANSPORTE                                                                                         ;;ANALÍTICO ;

1.4.1.2             ;ADMINISTRATIVO                                                                                     ;;ANALÍTICO ;

1.4.1.3             ;COMERCIAL                                                                                          ;;ANALÍTICO ;

;;;;;;;
Página: 5 / 19
www.sygecom.com.br - relatorios\sagi_rel_centro_custo.fr3;;;
;;
1.4.2               ;DOURADOS                                                                                           ;;SINTÉTICO ;

1.4.2.1             ;TRANSPORTE                                                                                         ;;ANALÍTICO ;

1.4.2.2             ;ADMINISTRATIVO                                                                                     ;;ANALÍTICO ;

1.4.3               ;MARINGA                                                                                            ;;SINTÉTICO ;

1.4.3.1             ;TRANSPORTE                                                                                         ;;ANALÍTICO ;

1.4.3.2             ;ADMINISTRATIVO                                                                                     ;;ANALÍTICO ;

1.4.4               ;BARUERI                                                                                            ;;SINTÉTICO ;

1.4.4.1             ;TRANSPORTE                                                                                         ;;ANALÍTICO ;

1.4.4.2             ;ADMINISTRATIVO                                                                                     ;;ANALÍTICO ;

1.5                 ;EKIPA CONTEINER                                                                                    ;;SINTÉTICO ;

1.5.1               ;PRESIDENTE PRUDENTE                                                                                ;;SINTÉTICO ;

1.5.1.1             ;ADMINISTRATIVO                                                                                     ;;ANALÍTICO ;

1.5.1.2             ;COMERCIAL                                                                                          ;;ANALÍTICO ;

1.5.1.3             ;OPERACIONAL                                                                                        ;;ANALÍTICO ;

1.5.1.4             ;LOGISTICA                                                                                          ;;ANALÍTICO ;

1.6                 ;EKIPA LOCACOES RSE                                                                                 ;;SINTÉTICO ;

1.6.1               ;ADMINISTRATIVO                                                                                     ;;ANALÍTICO ;

1.6.2               ;COMERCIAL                                                                                          ;;ANALÍTICO ;

1.6.3               ;VEICULO, MAQUINA E EQUIPAMENTO                                                                     ;;SINTÉTICO ;

1.6.3.1             ;EHH0007                                                                                            ;;ANALÍTICO ;

1.6.3.2             ;EHL0013                                                                                            ;;ANALÍTICO ;

1.6.3.3             ;EHL0014                                                                                            ;;ANALÍTICO ;

1.6.3.4             ;FBU7329                                                                                            ;;ANALÍTICO ;

1.6.3.5             ;FRT7548                                                                                            ;;ANALÍTICO ;

1.6.3.6             ;EWU6088                                                                                            ;;ANALÍTICO ;

1.6.3.7             ;EJZ7999                                                                                            ;;ANALÍTICO ;

1.6.3.8             ;EJZ7J97                                                                                            ;;ANALÍTICO ;

1.6.3.9             ;EWU6143                                                                                            ;;ANALÍTICO ;

1.6.3.10            ;EWU6342                                                                                            ;;ANALÍTICO ;

1.6.3.11            ;GDB3A42                                                                                            ;;ANALÍTICO ;

1.6.3.12            ;GDY0H74                                                                                            ;;ANALÍTICO ;

1.6.3.13            ;EWU5698                                                                                            ;;ANALÍTICO ;

1.6.3.14            ;EWU5984                                                                                            ;;ANALÍTICO ;

1.6.3.15            ;OOM8D73                                                                                            ;;ANALÍTICO ;

1.6.3.16            ;EJZ7303                                                                                            ;;ANALÍTICO ;

1.6.3.17            ;EHL0011                                                                                            ;;ANALÍTICO ;

1.6.3.18            ;EHL0012                                                                                            ;;ANALÍTICO ;

1.6.3.19            ;CNI0624                                                                                            ;;ANALÍTICO ;

1.6.3.20            ;HSU9D49                                                                                            ;;ANALÍTICO ;

1.6.3.21            ;BZN1874                                                                                            ;;ANALÍTICO ;

1.6.3.22            ;PHE0030                                                                                            ;;ANALÍTICO ;

1.6.3.23            ;DTB6854                                                                                            ;;ANALÍTICO ;

1.6.3.24            ;MRP6135                                                                                            ;;ANALÍTICO ;

1.6.3.25            ;EHP0032                                                                                            ;;ANALÍTICO ;

;;;;;;;
Página: 6 / 19
www.sygecom.com.br - relatorios\sagi_rel_centro_custo.fr3;;;
;;
